algorithm,step,raw_mean_reward,smoothed_mean_reward,smoothed_ci95_reward
Double DQN,0,9.9,14.14,5.1810363167570594
Double DQN,1000,21.32,16.060000000000002,5.29620869679434
Double DQN,2000,11.2,23.912,9.874234899697292
Double DQN,3000,21.82,45.312,13.22497621950225
Double DQN,4000,55.31999999999999,72.54400000000001,21.19253441893159
Double DQN,5000,116.9,104.41999999999999,24.775848248808757
Double DQN,6000,157.48,132.636,24.334346512400945
Double DQN,7000,170.57999999999998,156.07999999999998,16.976247830424715
Double DQN,8000,162.89999999999998,172.024,17.066558162488413
Double DQN,9000,172.54000000000002,179.644,19.665676970640998
Double DQN,10000,196.61999999999998,186.66799999999998,16.441293141550634
Double DQN,11000,195.57999999999998,196.71200000000002,19.534393269881708
Double DQN,12000,205.7,201.45199999999997,19.158594862212624
Double DQN,13000,213.12000000000003,205.27599999999998,21.535762201361702
Double DQN,14000,196.24,206.628,24.006604879957507
Double DQN,15000,215.73999999999995,206.13199999999998,26.86768285964385
Double DQN,16000,202.34,203.808,32.88255871173045
Double DQN,17000,203.22000000000003,206.86399999999998,41.159263406742355
Double DQN,18000,201.5,198.484,39.8106279931578
Double DQN,19000,211.51999999999998,197.252,36.309126910439474
Double DQN,20000,173.83999999999997,192.04,42.26730615802243
Double DQN,21000,196.18,183.01999999999998,32.584720293536364
Double DQN,22000,177.16,174.184,19.15287449699392
Double DQN,23000,156.4,174.948,25.28262522774089
Double DQN,24000,167.34,169.64,30.59029068282941
Double DQN,25000,177.66,167.13333333333333,42.768190068996105
Double SOR DQN,0,9.9,15.266666666666666,5.176074308242149
Double SOR DQN,1000,25.72,16.125,5.934606027361884
Double SOR DQN,2000,10.179999999999998,25.912,10.247134931794347
Double SOR DQN,3000,18.7,64.852,38.223175269126976
Double SOR DQN,4000,65.06,95.91199999999999,48.62365945823493
Double SOR DQN,5000,204.6,132.86399999999998,50.466752613196725
Double SOR DQN,6000,181.01999999999998,167.06799999999998,45.89750476710473
Double SOR DQN,7000,194.94,192.476,43.03275838513723
Double SOR DQN,8000,189.71999999999997,194.792,40.22954998990666
Double SOR DQN,9000,192.1,200.07600000000002,44.104063371911664
Double SOR DQN,10000,216.18,205.44400000000002,43.559846076054946
Double SOR DQN,11000,207.44,211.308,50.46918265435254
Double SOR DQN,12000,221.78000000000003,217.81600000000003,45.967912049620004
Double SOR DQN,13000,219.04000000000002,217.68800000000002,39.34328383048879
Double SOR DQN,14000,224.64000000000001,214.852,37.964305695197446
Double SOR DQN,15000,215.54000000000002,208.93200000000002,31.937923289381217
Double SOR DQN,16000,193.26000000000002,201.13600000000002,27.954029304012685
Double SOR DQN,17000,192.18,198.148,31.385950932581277
Double SOR DQN,18000,180.06,194.62800000000001,26.238362974057647
Double SOR DQN,19000,209.7,186.036,26.428587671262342
Double SOR DQN,20000,197.94,174.86399999999998,28.191618012622115
Double SOR DQN,21000,150.3,165.00799999999998,30.46129723157566
Double SOR DQN,22000,136.32,151.648,22.130243955058415
Double SOR DQN,23000,130.78000000000003,137.15200000000002,24.157775956705944
Double SOR DQN,24000,142.9,133.865,29.727232674098662
Double SOR DQN,25000,125.46000000000001,133.0466666666667,30.140827913424452
