algorithm,step,mean_reward,ci95_reward,seed,seed_reward
Double DQN,0,14.24,5.402493883383857,0,9.4
Double DQN,0,14.24,5.402493883383857,1,11.7
Double DQN,0,14.24,5.402493883383857,2,9.3
Double DQN,0,14.24,5.402493883383857,3,17.1
Double DQN,0,14.24,5.402493883383857,4,23.7
Double DQN,1000,13.62,4.567430857714214,0,9.5
Double DQN,1000,13.62,4.567430857714214,1,12.7
Double DQN,1000,13.62,4.567430857714214,2,22.3
Double DQN,1000,13.62,4.567430857714214,3,13.9
Double DQN,1000,13.62,4.567430857714214,4,9.7
Double DQN,2000,17.580000000000002,16.131097688626156,0,9.2
Double DQN,2000,17.580000000000002,16.131097688626156,1,9.5
Double DQN,2000,17.580000000000002,16.131097688626156,2,50.5
Double DQN,2000,17.580000000000002,16.131097688626156,3,9.4
Double DQN,2000,17.580000000000002,16.131097688626156,4,9.3
Double DQN,3000,19.16,14.24983354850154,0,13.0
Double DQN,3000,19.16,14.24983354850154,1,11.8
Double DQN,3000,19.16,14.24983354850154,2,48.2
Double DQN,3000,19.16,14.24983354850154,3,12.2
Double DQN,3000,19.16,14.24983354850154,4,10.6
Double DQN,4000,205.88000000000002,193.82934800034795,0,19.8
Double DQN,4000,205.88000000000002,193.82934800034795,1,34.9
Double DQN,4000,205.88000000000002,193.82934800034795,2,90.3
Double DQN,4000,205.88000000000002,193.82934800034795,3,384.4
Double DQN,4000,205.88000000000002,193.82934800034795,4,500.0
Double DQN,5000,226.95999999999998,74.27206838213137,0,178.0
Double DQN,5000,226.95999999999998,74.27206838213137,1,126.3
Double DQN,5000,226.95999999999998,74.27206838213137,2,200.6
Double DQN,5000,226.95999999999998,74.27206838213137,3,312.7
Double DQN,5000,226.95999999999998,74.27206838213137,4,317.2
Double DQN,6000,199.42,35.50086487735193,0,218.1
Double DQN,6000,199.42,35.50086487735193,1,165.7
Double DQN,6000,199.42,35.50086487735193,2,151.8
Double DQN,6000,199.42,35.50086487735193,3,251.3
Double DQN,6000,199.42,35.50086487735193,4,210.2
Double DQN,7000,165.95999999999998,29.938805924084544,0,154.1
Double DQN,7000,165.95999999999998,29.938805924084544,1,137.0
Double DQN,7000,165.95999999999998,29.938805924084544,2,141.9
Double DQN,7000,165.95999999999998,29.938805924084544,3,220.8
Double DQN,7000,165.95999999999998,29.938805924084544,4,176.0
Double DQN,8000,194.92000000000002,27.176755285353693,0,157.4
Double DQN,8000,194.92000000000002,27.176755285353693,1,190.0
Double DQN,8000,194.92000000000002,27.176755285353693,2,242.5
Double DQN,8000,194.92000000000002,27.176755285353693,3,200.6
Double DQN,8000,194.92000000000002,27.176755285353693,4,184.1
Double DQN,9000,203.12,45.33456696870501,0,232.5
Double DQN,9000,203.12,45.33456696870501,1,183.0
Double DQN,9000,203.12,45.33456696870501,2,269.5
Double DQN,9000,203.12,45.33456696870501,3,198.2
Double DQN,9000,203.12,45.33456696870501,4,132.4
Double DQN,10000,188.76,21.197705823036603,0,178.1
Double DQN,10000,188.76,21.197705823036603,1,199.4
Double DQN,10000,188.76,21.197705823036603,2,188.7
Double DQN,10000,188.76,21.197705823036603,3,221.3
Double DQN,10000,188.76,21.197705823036603,4,156.3
Double DQN,11000,215.68,36.100114091786466,0,259.7
Double DQN,11000,215.68,36.100114091786466,1,197.8
Double DQN,11000,215.68,36.100114091786466,2,231.3
Double DQN,11000,215.68,36.100114091786466,3,236.1
Double DQN,11000,215.68,36.100114091786466,4,153.5
Double DQN,12000,231.44,39.454493292399526,0,251.7
Double DQN,12000,231.44,39.454493292399526,1,233.0
Double DQN,12000,231.44,39.454493292399526,2,283.2
Double DQN,12000,231.44,39.454493292399526,3,228.6
Double DQN,12000,231.44,39.454493292399526,4,160.7
Double DQN,13000,211.61999999999998,16.88473736366663,0,237.8
Double DQN,13000,211.61999999999998,16.88473736366663,1,219.2
Double DQN,13000,211.61999999999998,16.88473736366663,2,215.7
Double DQN,13000,211.61999999999998,16.88473736366663,3,194.8
Double DQN,13000,211.61999999999998,16.88473736366663,4,190.6
Double DQN,14000,217.32,27.393578733710566,0,231.1
