algorithm,step,raw_mean_reward,smoothed_mean_reward,smoothed_ci95_reward
Double DQN,0,21.279999999999998,18.86,11.123072432461177
Double DQN,1000,16.06,29.13,12.608771174860776
Double DQN,2000,19.240000000000002,44.596,15.236961841837106
Double DQN,3000,59.94,63.48,19.60420178961643
Double DQN,4000,106.46,94.73999999999998,28.08462380962224
Double DQN,5000,115.7,122.29599999999998,27.38603405288177
Double DQN,6000,172.35999999999999,147.66,27.003770097673396
Double DQN,7000,157.02,165.348,15.509234162085502
Double DQN,8000,186.76,183.092,12.676801203079586
Double DQN,9000,194.9,191.45199999999997,14.589988283696469
Double DQN,10000,204.42000000000002,199.03199999999998,19.378041739825008
Double DQN,11000,214.16,205.16799999999998,22.466923864703862
Double DQN,12000,194.92,210.452,19.32089860866724
Double DQN,13000,217.44,214.2,22.62827257675672
Double DQN,14000,221.32,209.68400000000003,25.482941036418847
Double DQN,15000,223.16,210.60399999999998,30.645293921148813
Double DQN,16000,191.57999999999998,201.664,30.799890270349987
Double DQN,17000,199.52,192.436,34.539710152715536
Double DQN,18000,172.73999999999998,181.89600000000002,28.946054540016302
Double DQN,19000,175.18,177.06,24.06109603089602
Double DQN,20000,170.45999999999998,167.82399999999998,20.980909329998067
Double DQN,21000,167.4,162.256,23.237257430462833
Double DQN,22000,153.34,156.852,29.490617755320077
Double DQN,23000,144.89999999999998,151.47599999999997,36.51661981938634
Double DQN,24000,148.16000000000003,147.495,40.41371179364747
Double DQN,25000,143.57999999999998,145.54666666666665,46.07511037252109
Double SOR DQN,0,21.279999999999998,19.94,13.716552455741606
Double SOR DQN,1000,13.9,26.105000000000004,24.496625627624713
Double SOR DQN,2000,24.640000000000004,36.056000000000004,20.004595373503562
Double SOR DQN,3000,44.6,58.624,30.90032689887924
Double SOR DQN,4000,75.86000000000001,85.15200000000002,38.38606954037363
Double SOR DQN,5000,134.11999999999998,115.62,39.404927227340494
Double SOR DQN,6000,146.54000000000002,141.26399999999998,36.91485749962473
Double SOR DQN,7000,176.98,168.864,32.277791300298105
Double SOR DQN,8000,172.82,182.804,22.23359034311822
Double SOR DQN,9000,213.85999999999999,194.92000000000002,23.98134770391355
Double SOR DQN,10000,203.82,205.012,28.49970645698652
Double SOR DQN,11000,207.11999999999998,211.464,23.07766757767344
Double SOR DQN,12000,227.44,212.01199999999994,27.059060660237265
Double SOR DQN,13000,205.07999999999998,212.48399999999998,34.35583896425175
Double SOR DQN,14000,216.6,212.73199999999997,32.0917488686173
Double SOR DQN,15000,206.17999999999998,211.93999999999997,31.06386927708781
Double SOR DQN,16000,208.35999999999999,209.31599999999997,35.478733932224785
Double SOR DQN,17000,223.48000000000002,207.62800000000001,34.020960715982135
Double SOR DQN,18000,191.95999999999998,200.856,31.61079201376645
Double SOR DQN,19000,208.16000000000003,189.92800000000003,33.86001198024596
Double SOR DQN,20000,172.32,177.836,32.54816011797901
Double SOR DQN,21000,153.72,171.472,20.613586034225094
Double SOR DQN,22000,163.02,164.24399999999997,24.53240606270816
Double SOR DQN,23000,160.14000000000001,156.512,27.515344240594185
Double SOR DQN,24000,172.02,157.21,33.860693329582006
Double SOR DQN,25000,133.66,155.27333333333334,36.962874790554665
