algorithm,step,mean_expected_reward,ci95_expected_reward,optimal_action_rate
Q-Learning,0.0,-0.09199999999999996,0.0037693671409423685,0.08
Q-Learning,100.0,-0.09850000000000005,0.001688858554195822,0.015
Q-Learning,200.0,-0.09299999999999997,0.003545030919626169,0.07
Q-Learning,300.0,-0.08899999999999991,0.00434731269155912,0.11
Q-Learning,400.0,-0.08399999999999984,0.005093650792109703,0.16
Q-Learning,500.0,-0.08349999999999984,0.005157209131899806,0.165
Q-Learning,600.0,-0.08149999999999981,0.005395034195429095,0.185
Q-Learning,700.0,-0.0764999999999998,0.005891069981560077,0.235
Q-Learning,800.0,-0.06699999999999984,0.006533169177167184,0.33
Q-Learning,900.0,-0.06399999999999985,0.006669154376718432,0.36
Q-Learning,1000.0,-0.06999999999999983,0.006367063490137127,0.3
Q-Learning,1100.0,-0.06099999999999986,0.006776832541570013,0.39
Q-Learning,1200.0,-0.060499999999999866,0.0067921265384688415,0.395
Q-Learning,1300.0,-0.060499999999999866,0.006792126538468841,0.395
Q-Learning,1400.0,-0.06149999999999986,0.006760790147392944,0.385
Q-Learning,1500.0,-0.05799999999999987,0.0068575372463754785,0.42
Q-Learning,1600.0,-0.052999999999999894,0.006934519870124091,0.47
Q-Learning,1700.0,-0.05699999999999988,0.006878617951639928,0.43
Q-Learning,1800.0,-0.04699999999999991,0.0069345198701240875,0.53
Q-Learning,1900.0,-0.048499999999999904,0.006943908939263538,0.515
Q-Learning,2000.0,-0.04149999999999993,0.0068459151889188104,0.585
Q-Learning,2100.0,-0.034999999999999955,0.006627049791930314,0.65
Q-Learning,2200.0,-0.038999999999999944,0.0067768325415700275,0.61
Q-Learning,2300.0,-0.026499999999999985,0.006131915191813894,0.735
Q-Learning,2400.0,-0.026499999999999985,0.006131915191813893,0.735
Q-Learning,2500.0,-0.021500000000000005,0.005707995098123417,0.785
Q-Learning,2600.0,-0.023,0.005847077008877062,0.77
Q-Learning,2700.0,-0.016500000000000008,0.005157209131899802,0.835
Q-Learning,2800.0,-0.011500000000000003,0.004432513721292606,0.885
Q-Learning,2900.0,-0.009500000000000003,0.004073949351254014,0.905
Q-Learning,3000.0,-0.013000000000000005,0.004672624003210284,0.87
Q-Learning,3100.0,-0.008000000000000002,0.0037693671409423707,0.92
Q-Learning,3200.0,-0.006500000000000001,0.0034252479644677376,0.935
Q-Learning,3300.0,-0.010000000000000002,0.004168221485449009,0.9
Q-Learning,3400.0,-0.0045,0.002880298351380428,0.955
Q-Learning,3500.0,-0.007000000000000001,0.0035450309196261524,0.93
Q-Learning,3600.0,-0.006,0.003299659187517523,0.94
Q-Learning,3700.0,-0.0034999999999999996,0.0025534491403908627,0.965
Q-Learning,3800.0,-0.0025,0.0021692112361258553,0.975
Q-Learning,3900.0,-0.004,0.0027226708731348916,0.96
Q-Learning,4000.0,-0.009000000000000003,0.003976229875158185,0.91
Q-Learning,4100.0,-0.0034999999999999996,0.002553449140390857,0.965
Q-Learning,4200.0,-0.004,0.0027226708731348894,0.96
Q-Learning,4300.0,-0.0025,0.002169211236125856,0.975
Q-Learning,4400.0,-0.0034999999999999996,0.002553449140390857,0.965
Q-Learning,4500.0,-0.0025,0.0021692112361258553,0.975
Q-Learning,4600.0,-0.004999999999999999,0.0030281427048945366,0.95
Q-Learning,4700.0,-0.007000000000000001,0.003545030919626155,0.93
Q-Learning,4800.0,-0.004,0.0027226708731348886,0.96
Q-Learning,4900.0,-0.002,0.0019451700265428742,0.98
Q-Learning,5000.0,-0.0025,0.0021692112361258557,0.975
Double Q-Learning,0.0,-0.09199999999999996,0.0037693671409423685,0.08
Double Q-Learning,100.0,-0.09750000000000003,0.002169211236125856,0.025
Double Q-Learning,200.0,-0.09399999999999999,0.0032996591875175244,0.06
Double Q-Learning,300.0,-0.08899999999999991,0.004347312691559116,0.11
Double Q-Learning,400.0,-0.0809999999999998,0.0054506568688101695,0.19
Double Q-Learning,500.0,-0.08199999999999981,0.005337928004093391,0.18
Double Q-Learning,600.0,-0.0779999999999998,0.005755567809001996,0.22
Double Q-Learning,700.0,-0.07299999999999982,0.0061684044995729565,0.27
Double Q-Learning,800.0,-0.07549999999999982,0.005975662365254382,0.245
Double Q-Learning,900.0,-0.0784999999999998,0.0057079950981234135,0.215
Double Q-Learning,1000.0,-0.07449999999999982,0.006055886956852064,0.255
Double Q-Learning,1100.0,-0.07399999999999982,0.006094415600165262,0.26
